file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,53,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,22
style.css,54,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,36
style.css,55,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,5
style.css,56,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,47
style.css,57,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,35
style.css,58,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,59,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,60,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,4
style.css,61,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,39
style.css,62,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,63,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,64,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,2
style.css,65,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,36
style.css,66,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,67,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,68,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,10
style.css,69,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,43
style.css,70,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,71,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,72,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,73,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,74,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,37
style.css,75,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,14
style.css,76,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,18
style.css,77,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,44
style.css,78,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,46
style.css,79,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,48
style.css,80,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,75
style.css,81,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,78
style.css,82,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,57
style.css,83,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,84,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,85,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,55
style.css,86,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,23
style.css,87,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,20
style.css,88,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,17
style.css,89,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,14
style.css,90,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,15
style.css,91,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,92,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,93,css,9ac4aa38,sebastianferragut,2025-01-17,11:53:49,-08:00,2025-01-17T11:53:49-08:00,0,0
style.css,94,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,0
style.css,95,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,16
style.css,96,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,5
style.css,97,css,84973fbe,sebastianferragut,2025-01-23,12:30:09,-08:00,2025-01-23T12:30:09-08:00,0,24
